Date,Open,High,Low,Close,Adj Close,Volume,Ticker
"Nov 30, 2025","90,838.21","91,965.05","90,394.31","90,394.31","90,394.31","38,497,902,869",BTC-USD
"Nov 29, 2025","90,918.74","91,187.62","90,260.19","90,851.76","90,851.76","37,921,773,455",BTC-USD
"Nov 28, 2025","91,285.38","92,969.09","90,257.12","90,919.27","90,919.27","60,895,830,289",BTC-USD
"Nov 27, 2025","90,517.77","91,897.58","90,089.52","91,285.38","91,285.38","57,040,622,845",BTC-USD
"Nov 26, 2025","87,345.59","90,581.16","86,316.90","90,518.37","90,518.37","66,496,301,869",BTC-USD
"Nov 25, 2025","88,269.96","88,457.34","86,131.43","87,341.89","87,341.89","64,837,343,545",BTC-USD
"Nov 24, 2025","86,798.77","89,206.34","85,272.20","88,270.56","88,270.56","74,433,896,110",BTC-USD
"Nov 23, 2025","84,648.61","88,038.47","84,641.77","86,805.01","86,805.01","58,083,435,576",BTC-USD
"Nov 22, 2025","85,098.56","85,503.01","83,490.90","84,648.36","84,648.36","40,793,099,246",BTC-USD
"Nov 21, 2025","86,528.77","87,380.80","80,659.81","85,090.69","85,090.69","129,157,506,112",BTC-USD
"Nov 20, 2025","91,459.35","93,025.07","86,040.80","86,631.90","86,631.90","97,970,645,638",BTC-USD
"Nov 19, 2025","92,946.16","92,946.16","88,526.83","91,465.99","91,465.99","80,350,354,656",BTC-USD
"Nov 18, 2025","92,094.53","93,745.08","89,300.46","92,948.88","92,948.88","101,333,569,062",BTC-USD
"Nov 17, 2025","94,180.88","95,928.37","91,214.76","92,093.88","92,093.88","94,186,165,724",BTC-USD
"Nov 16, 2025","95,556.87","96,564.19","92,971.16","94,177.08","94,177.08","71,086,235,862",BTC-USD
"Nov 15, 2025","94,420.47","96,728.47","94,420.47","95,549.15","95,549.15","38,500,716,654",BTC-USD
"Nov 14, 2025","99,694.70","99,804.43","94,000.73","94,397.79","94,397.79","114,346,441,890",BTC-USD
"Nov 13, 2025","101,674.15","104,005.49","97,988.72","99,697.49","99,697.49","101,546,815,416",BTC-USD
"Nov 12, 2025","103,011.44","105,297.23","100,836.62","101,663.19","101,663.19","64,347,179,408",BTC-USD
"Nov 11, 2025","105,996.86","107,428.26","102,457.33","102,997.47","102,997.47","71,130,078,574",BTC-USD
"Nov 10, 2025","104,723.77","106,564.70","104,350.65","105,996.59","105,996.59","69,585,887,229",BTC-USD
"Nov 9, 2025","102,278.98","105,418.37","101,468.88","104,719.64","104,719.64","59,679,243,013",BTC-USD
"Nov 8, 2025","103,371.70","103,373.56","101,458.04","102,282.12","102,282.12","51,446,691,095",BTC-USD
"Nov 7, 2025","101,286.24","104,052.91","99,257.05","103,372.41","103,372.41","92,168,030,081",BTC-USD
"Nov 6, 2025","103,893.66","104,147.30","100,336.87","101,301.29","101,301.29","63,932,752,861",BTC-USD
"Nov 5, 2025","101,579.23","104,534.70","98,989.91","103,891.84","103,891.84","77,584,934,804",BTC-USD
"Nov 4, 2025","106,541.42","107,264.88","98,962.06","101,590.52","101,590.52","110,967,184,773",BTC-USD
"Nov 3, 2025","110,646.91","110,764.91","105,336.36","106,547.52","106,547.52","72,852,006,359",BTC-USD
"Nov 2, 2025","110,064.43","111,167.31","109,523.45","110,639.63","110,639.63","34,284,209,459",BTC-USD
"Nov 1, 2025","109,558.63","110,574.90","109,372.95","110,064.02","110,064.02","25,871,668,762",BTC-USD
"Oct 31, 2025","108,304.41","111,031.82","108,288.27","109,556.16","109,556.16","60,090,359,560",BTC-USD
"Oct 30, 2025","110,059.20","111,612.35","106,376.69","108,305.55","108,305.55","69,673,964,814",BTC-USD
"Oct 29, 2025","112,921.33","113,642.73","109,368.72","110,055.30","110,055.30","62,192,043,469",BTC-USD
"Oct 28, 2025","114,129.09","116,078.98","112,291.68","112,956.16","112,956.16","64,528,066,504",BTC-USD
"Oct 27, 2025","114,479.85","116,273.31","113,882.29","114,119.33","114,119.33","61,761,358,733",BTC-USD
"Oct 26, 2025","111,639.05","115,260.91","111,268.48","114,472.45","114,472.45","41,708,524,143",BTC-USD
"Oct 25, 2025","111,032.62","111,947.70","110,704.41","111,641.73","111,641.73","24,707,667,305",BTC-USD
"Oct 24, 2025","110,069.35","111,842.53","109,770.15","111,033.92","111,033.92","48,160,816,980",BTC-USD
"Oct 23, 2025","107,679.44","111,288.59","107,548.43","110,069.73","110,069.73","54,944,076,060",BTC-USD
"Oct 22, 2025","108,491.53","109,115.13","106,778.00","107,688.59","107,688.59","80,807,013,218",BTC-USD
"Oct 21, 2025","110,587.63","113,996.34","107,534.75","108,476.89","108,476.89","101,194,375,480",BTC-USD
"Oct 20, 2025","108,667.45","111,711.03","107,485.02","110,588.93","110,588.93","63,507,793,085",BTC-USD
"Oct 19, 2025","107,204.31","109,488.99","106,157.79","108,666.71","108,666.71","47,657,008,953",BTC-USD
"Oct 18, 2025","106,483.73","107,490.98","106,387.45","107,198.27","107,198.27","37,779,905,278",BTC-USD
"Oct 17, 2025","108,179.13","109,235.80","103,598.43","106,467.79","106,467.79","99,703,051,669",BTC-USD
"Oct 16, 2025","110,782.17","111,990.81","107,537.03","108,186.04","108,186.04","87,306,423,067",BTC-USD
"Oct 15, 2025","113,113.97","113,622.38","110,235.84","110,783.16","110,783.16","72,574,132,855",BTC-USD
"Oct 14, 2025","115,264.88","115,502.88","110,029.48","113,118.66","113,118.66","92,212,917,403",BTC-USD
"Oct 13, 2025","115,161.68","116,020.48","113,821.19","115,271.08","115,271.08","71,582,026,739",BTC-USD
"Oct 12, 2025","110,811.52","115,805.06","109,715.54","115,169.77","115,169.77","93,710,414,091",BTC-USD
"Oct 11, 2025","113,236.43","113,429.73","109,760.56","110,807.88","110,807.88","110,236,934,340",BTC-USD
"Oct 10, 2025","121,704.74","122,509.66","104,582.41","113,214.37","113,214.37","153,125,018,868",BTC-USD
